Dates,Betafolio 0,Betafolio 10,Betafolio 20,Betafolio 30,Betafolio 40,Betafolio 50,Betafolio 60,Betafolio 70,Betafolio 80,Betafolio 90,Betafolio 100,Inflation
01/08/1927,-0.001426741,0.000717761,0.002862252,0.005006754,0.007151255,0.009295747,0.011440259,0.01358475,0.015731412,0.017873753,0.020018245,0
01/09/1927,0.006824622,0.008235759,0.009647212,0.011058349,0.012469486,0.013880939,0.015291761,0.016703214,0.018115326,0.019525488,0.020936941,0.012738854
01/10/1927,0.015763329,0.013828403,0.011893428,0.009958502,0.008023576,0.006088601,0.004153725,0.00221875,0.000285032,-0.001651102,-0.003586077,-0.004192872
01/11/1927,0.000283453,0.00103745,0.001792508,0.002546506,0.003300503,0.004055561,0.004808498,0.005563556,0.006314042,0.007071551,0.007826609,-0.010526316
01/12/1927,0.024811129,0.02495569,0.025100342,0.025244903,0.025389463,0.025534115,0.025678585,0.025823237,0.025969856,0.026112358,0.02625701,0
01/01/1928,-0.007623071,-0.005152029,-0.002681305,-0.000210262,0.00226078,0.004731505,0.007202865,0.00967359,0.012146306,0.014615675,0.017086399,0.008510638
01/02/1928,0.000258733,-0.000750057,-0.001759826,-0.002768616,-0.003777405,-0.004787174,-0.005794985,-0.006804754,-0.007814665,-0.008822333,-0.009832102,-0.012658228
01/03/1928,0.006594914,0.010682488,0.014769521,0.018857095,0.022944669,0.027031701,0.031119817,0.035206849,0.039295999,0.043381997,0.04746903,0
01/04/1928,0.012278915,0.014815993,0.017352363,0.019889442,0.02242652,0.02496289,0.027500677,0.030037047,0.032573728,0.035111204,0.037647574,0
01/05/1928,0.004369542,0.005627597,0.006885643,0.008143698,0.009401753,0.010659799,0.011917862,0.013175909,0.014434304,0.015692018,0.016950065,0.006410256
01/06/1928,-0.000783108,-0.003559819,-0.006336465,-0.009113176,-0.011889888,-0.014666533,-0.01744331,-0.020219956,-0.022994594,-0.025773378,-0.028550024,0
01/07/1928,-0.008645617,-0.007467582,-0.006289696,-0.00511166,-0.003933625,-0.002755739,-0.001577554,-0.000399668,0.000777735,0.001956403,0.003134289,0
01/08/1928,0.010418085,0.013366994,0.016314768,0.019263676,0.022212585,0.025160359,0.028110401,0.031058176,0.034007714,0.036955992,0.039903767,0
01/09/1928,-0.000121058,0.001872533,0.003866949,0.005860539,0.007854129,0.009848546,0.01184131,0.013835726,0.015829522,0.017822907,0.019817323,0.006369427
01/10/1928,0.008460622,0.008513317,0.008567428,0.008620124,0.00867282,0.008726931,0.008778211,0.008832322,0.008885707,0.008937713,0.008991824,-0.008438819
